level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	134	205	369	20	-1	
3	1	1	1	0	0	134	205	369	20	-1	
4	1	1	1	1	0	134	205	369	20	-1	
5	1	1	1	1	1	134	205	88	15	96	Overview
5	1	1	1	1	2	228	205	20	15	96	of
5	1	1	1	1	3	253	205	31	15	96	the
5	1	1	1	1	4	291	205	66	15	96	studies
5	1	1	1	1	5	363	205	34	15	96	and
5	1	1	1	1	6	405	205	29	15	96	the
5	1	1	1	1	7	441	209	62	16	96	survey
2	1	2	0	0	0	157	247	382	28	-1	
3	1	2	1	0	0	157	247	382	28	-1	
4	1	2	1	1	0	157	247	382	28	-1	
5	1	2	1	1	1	157	247	84	28	96	Purpose
5	1	2	1	1	2	449	251	90	20	96	Approach
2	1	3	0	0	0	34	278	329	40	-1	
3	1	3	1	0	0	34	278	329	40	-1	
4	1	3	1	1	0	35	278	317	19	-1	
5	1	3	1	1	1	35	278	52	15	96	Levels
5	1	3	1	1	2	93	278	18	15	96	of
5	1	3	1	1	3	116	278	44	15	96	force
5	1	3	1	1	4	167	283	28	10	96	can
5	1	3	1	1	5	203	278	20	15	96	be
5	1	3	1	1	6	229	278	123	19	96	distinguished;
4	1	3	1	2	0	34	299	329	19	-1	
5	1	3	1	2	1	34	299	79	15	96	Selection
5	1	3	1	2	2	119	299	100	19	96	techniques;
5	1	3	1	2	3	225	299	52	15	96	Visual
5	1	3	1	2	4	284	299	79	15	96	feedback
2	1	4	0	0	0	35	341	477	19	-1	
3	1	4	1	0	0	35	341	477	19	-1	
4	1	4	1	1	0	35	341	477	19	-1	
5	1	4	1	1	1	35	341	59	19	96	Explore
5	1	4	1	1	2	101	346	33	10	96	new
5	1	4	1	1	3	141	341	97	15	96	dimensions:
5	1	4	1	1	4	383	342	55	18	93	Survey
5	1	4	1	1	5	445	342	17	16	92	(N
5	1	4	1	1	6	471	347	9	5	96	=
5	1	4	1	1	7	488	342	24	16	96	61)
2	1	5	0	0	0	34	366	167	19	-1	
3	1	5	1	0	0	34	366	167	19	-1	
4	1	5	1	1	0	34	366	167	19	-1	
5	1	5	1	1	1	34	366	39	15	95	Time
5	1	5	1	1	2	80	366	30	15	95	and
5	1	5	1	1	3	117	367	84	18	96	Symmetry
2	1	6	0	0	0	34	405	487	43	-1	
3	1	6	1	0	0	34	405	487	43	-1	
4	1	6	1	1	0	34	405	487	18	-1	
5	1	6	1	1	1	34	405	74	18	96	Compare
5	1	6	1	1	2	115	409	73	10	95	common
5	1	6	1	1	3	195	405	96	14	95	interactions
5	1	6	1	1	4	382	405	23	14	96	VR
5	1	6	1	1	5	411	409	46	14	91	game
5	1	6	1	1	6	464	405	57	17	92	(N=12)
4	1	6	1	2	0	35	430	139	18	-1	
5	1	6	1	2	1	35	430	12	14	95	in
5	1	6	1	2	2	54	430	23	14	95	VR
5	1	6	1	2	3	83	430	91	18	96	application
2	1	7	0	0	0	35	469	554	39	-1	
3	1	7	1	0	0	35	469	554	39	-1	
4	1	7	1	1	0	35	469	554	17	-1	
5	1	7	1	1	1	35	469	67	14	96	Evaluate
5	1	7	1	1	2	108	469	26	14	96	the
5	1	7	1	1	3	142	469	95	14	96	interactions
5	1	7	1	1	4	383	470	64	13	96	Exercise
5	1	7	1	1	5	455	469	32	14	96	bike
5	1	7	1	1	6	495	469	30	14	93	ride
5	1	7	1	1	7	532	469	57	17	92	(N=10)
4	1	7	1	2	0	35	493	156	15	-1	
5	1	7	1	2	1	35	494	12	14	92	in
5	1	7	1	2	2	55	493	62	15	92	real-life
5	1	7	1	2	3	123	494	68	14	95	scenario
2	1	8	0	0	0	0	174	640	372	-1	
3	1	8	1	0	0	0	174	640	372	-1	
4	1	8	1	1	0	0	174	640	372	-1	
5	1	8	1	1	1	0	174	640	372	95	 

