level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	50	221	218	21	-1	
3	1	1	1	0	0	50	221	218	21	-1	
4	1	1	1	1	0	50	221	218	21	-1	
5	1	1	1	1	1	50	221	102	21	96	Research
5	1	1	1	1	2	162	222	106	20	96	overview
2	1	2	0	0	0	48	281	335	153	-1	
3	1	2	1	0	0	48	281	335	153	-1	
4	1	2	1	1	0	48	281	77	21	-1	
5	1	2	1	1	1	48	281	54	21	96	Study
5	1	2	1	1	2	110	282	15	16	96	1.
4	1	2	1	2	0	97	314	286	21	-1	
5	1	2	1	2	1	97	314	45	19	90	RQ1:
5	1	2	1	2	2	149	315	99	20	96	Taxonomy
5	1	2	1	2	3	254	314	129	21	96	development
4	1	2	1	3	0	48	347	77	21	-1	
5	1	2	1	3	1	39	343	19	29	31	AS
5	1	2	1	3	2	59	347	43	21	23	(UT
5	1	2	1	3	3	87	343	28	29	0	Va
4	1	2	1	4	0	97	380	269	21	-1	
5	1	2	1	4	1	97	380	45	19	75	RQ2:
5	1	2	1	4	2	150	380	63	17	96	Career
5	1	2	1	4	3	221	385	87	16	96	response
5	1	2	1	4	4	314	382	52	19	96	types
4	1	2	1	5	0	97	413	273	21	-1	
5	1	2	1	5	1	97	413	45	19	92	RQ3:
5	1	2	1	5	2	149	413	53	17	96	Value
5	1	2	1	5	3	209	413	20	17	96	of
5	1	2	1	5	4	234	413	32	17	97	the
5	1	2	1	5	5	274	418	96	16	96	responses

